ts_utc,run_id,phase,endpoint_label,endpoint_host,latency_ms,success,ldap_rc
2026-02-12T11:01:02Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,347,1,0
2026-02-12T11:01:02Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,388,1,0
2026-02-12T11:01:03Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,370,1,0
2026-02-12T11:01:03Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,348,1,0
2026-02-12T11:01:04Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,397,1,0
2026-02-12T11:01:05Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,357,1,0
2026-02-12T11:01:05Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,352,1,0
2026-02-12T11:01:05Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,399,1,0
2026-02-12T11:01:06Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,363,1,0
2026-02-12T11:01:06Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,360,1,0
2026-02-12T11:01:07Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:01:37Z,20260212T105929Z,phase3,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,352,1,0
2026-02-12T11:01:37Z,20260212T105929Z,phase3,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,366,1,0
2026-02-12T11:01:37Z,20260212T105929Z,phase3,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T11:01:39Z,20260212T105929Z,phase3,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,364,1,0
2026-02-12T11:01:39Z,20260212T105929Z,phase3,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,363,1,0
2026-02-12T11:01:39Z,20260212T105929Z,phase3,ga,aa99eb27c555144df.awsglobalaccelerator.com,384,1,0
2026-02-12T11:02:04Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,340,1,0
2026-02-12T11:02:04Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,355,1,0
2026-02-12T11:02:04Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,393,1,0
2026-02-12T11:02:05Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,372,1,0
2026-02-12T11:02:05Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:02:05Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T11:02:07Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,356,1,0
2026-02-12T11:02:07Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,362,1,0
2026-02-12T11:02:07Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,394,1,0
2026-02-12T11:02:08Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,369,1,0
2026-02-12T11:02:08Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,357,1,0
2026-02-12T11:02:08Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,390,1,0
2026-02-12T11:02:09Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,355,1,0
