ts_utc,run_id,phase,uid,endpoint_label,endpoint_host,ack_ms,first_visible_ms,lag_ms,probe_status
2026-02-12T11:01:38Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-25,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894097704,1770894098545,841,ok
2026-02-12T11:01:38Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-25,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894097704,1770894098922,1218,ok
2026-02-12T11:01:40Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-26,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894100326,1770894100752,426,ok
2026-02-12T11:01:41Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-26,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894100326,1770894101126,800,ok
2026-02-12T11:01:41Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-26,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894100326,1770894101490,1164,ok
2026-02-12T11:01:43Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-27,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894102872,1770894103294,422,ok
2026-02-12T11:01:43Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-27,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894102872,1770894103659,787,ok
2026-02-12T11:01:44Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-27,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894102872,1770894104022,1150,ok
2026-02-12T11:02:05Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-28,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894124634,1770894125113,479,ok
2026-02-12T11:02:05Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-28,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894124634,1770894125499,865,ok
2026-02-12T11:02:05Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-28,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894124634,1770894125893,1259,ok
2026-02-12T11:02:07Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-29,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894127335,1770894127812,477,ok
2026-02-12T11:02:08Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-29,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894127335,1770894128187,852,ok
2026-02-12T11:02:08Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-29,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894127335,1770894128556,1221,ok
2026-02-12T11:02:10Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-30,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894129987,1770894130448,461,ok
2026-02-12T11:02:10Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-30,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894129987,1770894130844,857,ok
2026-02-12T11:02:11Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-30,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894129987,1770894131225,1238,ok
2026-02-12T11:02:14Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-31,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894133812,1770894134266,454,ok
2026-02-12T11:02:14Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-31,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894133812,1770894134639,827,ok
2026-02-12T11:02:15Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-31,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894133812,1770894135039,1227,ok
2026-02-12T11:02:16Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-32,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894136483,1770894136970,487,ok
2026-02-12T11:02:17Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-32,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894136483,1770894137353,870,ok
2026-02-12T11:02:17Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-32,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894136483,1770894137741,1258,ok
2026-02-12T11:02:19Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-33,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894139151,1770894139619,468,ok
2026-02-12T11:02:20Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-33,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894139151,1770894140013,862,ok
2026-02-12T11:02:20Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-33,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894139151,1770894140404,1253,ok
2026-02-12T11:02:22Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-34,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894141979,1770894142454,475,ok
2026-02-12T11:02:22Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-34,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894141979,1770894142841,862,ok
2026-02-12T11:02:23Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-34,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894141979,1770894143237,1258,ok
2026-02-12T11:02:25Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-35,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894144661,1770894145103,442,ok
2026-02-12T11:02:25Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-35,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894144661,1770894145485,824,ok
2026-02-12T11:02:25Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-35,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894144661,1770894145880,1219,ok
2026-02-12T11:02:27Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-36,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894147307,1770894147754,447,ok
2026-02-12T11:02:28Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-36,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894147307,1770894148146,839,ok
2026-02-12T11:02:28Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-36,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894147307,1770894148527,1220,ok
2026-02-12T11:02:47Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-37,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894167234,1770894167680,446,ok
2026-02-12T11:02:48Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-37,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894167234,1770894168059,825,ok
2026-02-12T11:02:48Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-37,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894167234,1770894168442,1208,ok
2026-02-12T11:02:50Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-38,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894169908,1770894170356,448,ok
2026-02-12T11:02:50Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-38,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894169908,1770894170730,822,ok
2026-02-12T11:02:51Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-38,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894169908,1770894171109,1201,ok
2026-02-12T11:02:53Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-39,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894172556,1770894173000,444,ok
2026-02-12T11:02:53Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-39,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894172556,1770894173376,820,ok
2026-02-12T11:02:53Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-39,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894172556,1770894173744,1188,ok
2026-02-12T11:03:10Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-40,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894190306,1770894190786,480,ok
2026-02-12T11:03:11Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-40,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894190306,1770894191162,856,ok
2026-02-12T11:03:11Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-40,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894190306,1770894191537,1231,ok
2026-02-12T11:03:13Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-41,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894192946,1770894193395,449,ok
2026-02-12T11:03:13Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-41,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894192946,1770894193759,813,ok
2026-02-12T11:03:14Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-41,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894192946,1770894194137,1191,ok
2026-02-12T11:03:16Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-42,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894195566,1770894196004,438,ok
2026-02-12T11:03:16Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-42,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894195566,1770894196384,818,ok
2026-02-12T11:03:16Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-42,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894195566,1770894196760,1194,ok
